split,subject,class,signal,mean,std,min,max,median,iqr,skew,kurtosis,range,mad,rms,cv,diff_std,n_extrema
train,1,NoPain,Bvp,0.49877328673998517,0.0025981656896571317,0.4912969668706258,0.5055338790019354,0.4986041535933812,0.0034506401667992273,-0.0544962229517599,-0.03376158078511556,0.01423691213130951,0.0016765457888444264,0.49878021081288654,0.005208956081289265,0.002370971255004406,649.5
train,1,NoPain,Eda,5.077234506607056,0.14205234870314598,4.852174957593282,5.296291629473369,5.102091670036316,0.2659020225207011,-0.07496401802442658,-1.4736905197302501,0.44411667188008624,0.12375420331954956,5.079285621643066,0.028238845247762604,0.24917053431272507,987.0833333333334
train,1,NoPain,Resp,-0.02123636150887857,0.09668210335075855,-0.1538258334621787,0.18967250175774097,-0.056165416215662844,0.16512729099486023,0.6309565405050913,-0.7857263584931692,0.3434983352199197,0.057247499780108534,0.10204503995676835,0.5034145011112047,0.002683185254378865,109.41666666666667
train,1,NoPain,SpO2,71.83500067392985,7.771604518095653,59.666666666666664,79.91666666666667,74.75,15.916666666666666,-0.67010237959524,0.17909390727678934,20.25,4.25,72.49982738494873,0.12789956397509858,0.7344683961321911,0.9166666666666666
train,1,PainArm,Bvp,0.4981162299712499,0.0023075659410096705,0.4914340600371361,0.5044016242027283,0.49806077033281326,0.0029447836180528006,-0.1383441953609387,0.1977582573890686,0.012967564165592194,0.0014577868084112804,0.4981216589609782,0.004632904806990356,0.0022825185830394426,658.6666666666666
train,1,PainArm,Eda,5.6340804894765215,0.1553019161025683,5.274091641108195,5.899399995803833,5.624437530835469,0.23425633708635965,-0.1200120453722775,-0.632520725329717,0.6253083546956381,0.10938753684361775,5.636285583178203,0.02761759463360226,0.23287790641188622,990.25
train,1,PainArm,Resp,-0.0411690726565818,0.09403031691908836,-0.20544416457414627,0.1504216669127345,-0.05467500116719748,0.15020395862908723,0.19177419816454253,-0.8335517843564352,0.3558658314868808,0.06614833232015371,0.11670809673766296,-1.2309170333644202,0.0024636974752259753,109.75
train,1,PainArm,SpO2,58.57075063387553,6.912138467033704,49.833333333333336,69.25,57.5,9.25,-0.10628913342952728,-0.11027169227600098,19.416666666666668,0.9166666666666666,59.60021352767944,0.1951819706021066,0.5970885710169872,0.75
train,1,PainHand,Bvp,0.4982087314128876,0.0022390357529123626,0.49161087224880856,0.5044155816237131,0.4981657365957896,0.0027931444346904755,-0.14446081620796272,0.23931095997492471,0.012804709374904633,0.0013922527432441711,0.4982138176759084,0.004494296072006209,0.002245870108405749,643.5833333333334
train,1,PainHand,Eda,5.676600297292073,0.18339929729700089,5.244233290354411,5.9751750230789185,5.663399934768677,0.27620208263397217,-0.15611718967556953,-0.6108497480551401,0.7309417327245077,0.1327749490737915,5.679591576258342,0.03230800451252916,0.25207308555642766,994.0833333333334
train,1,PainHand,Resp,-0.022592553296514477,0.09495038787523906,-0.1777725008626779,0.17703666413823763,-0.03707375032051156,0.14705375085274378,0.31387036441204447,-0.6837856074174246,0.3548091650009155,0.06393708226581414,0.10481049492955208,3.1811909111816608,0.002454354321040834,111.25
train,1,PainHand,SpO2,57.83950010935465,13.40551795065403,40.25,75.91666666666667,58.833333333333336,27.083333333333332,0.1724763127664725,1.2943342129389446,35.666666666666664,5.833333333333333,60.31748867034912,0.27486165064399765,1.2666057497262955,1.1666666666666667
train,2,NoPain,Bvp,0.498211532831192,0.013770616070056954,0.4754749412337939,0.5291808197895685,0.49568402270476025,0.023095653702815373,0.44050365189711255,-0.9498365720113119,0.05370587855577469,0.010454654693603516,0.4984172557791074,0.027633795864275463,0.0031020898216714463,563.5
