split,class,signal,stat,mean,std,n
train,NoPain,Bvp,mean,0.49870055950269465,0.0009384251819092898,492
train,NoPain,Bvp,std,0.007064381194096513,0.0047967969352783945,492
train,NoPain,Bvp,min,0.4842872648704343,0.006622801987842634,492
train,NoPain,Bvp,max,0.5161337572626952,0.011919451734238778,492
train,NoPain,Bvp,median,0.4976569386880572,0.001763211469567295,492
train,NoPain,Bvp,iqr,0.010527724884753304,0.007540047003100485,492
train,NoPain,Bvp,skew,0.25281777092145863,0.3745699011979613,492
train,NoPain,Bvp,kurtosis,-0.3850155581788319,0.6545904510796731,492
train,NoPain,Bvp,range,0.03184649239226085,0.01814832897395413,492
train,NoPain,Bvp,mad,0.004980502634998259,0.0034810135587408464,492
train,NoPain,Bvp,rms,0.498773649516629,0.0009426965863793956,492
train,NoPain,Bvp,cv,0.014165355139443295,0.009620194280091981,492
train,NoPain,Bvp,diff_std,0.0028112497160824516,0.00044531222780106307,492
train,NoPain,Bvp,n_extrema,611.180894308943,48.98292593696862,492
train,NoPain,Eda,mean,3.616591150804264,2.43808711551509,492
train,NoPain,Eda,std,0.9619976207841097,0.4681310106214073,492
train,NoPain,Eda,min,2.3682270284620968,2.3472650738323138,492
train,NoPain,Eda,max,4.966291672209414,2.6200024382964453,492
train,NoPain,Eda,median,3.626962805393992,2.454322921114443,492
train,NoPain,Eda,iqr,1.9762415079685896,1.0032675704965621,492
train,NoPain,Eda,skew,0.0034478072195854364,0.11348832232186513,492
train,NoPain,Eda,kurtosis,-1.6695465762925341,0.364221295151929,492
train,NoPain,Eda,range,2.598064643747317,1.131067491482459,492
train,NoPain,Eda,mad,0.9614861705681172,0.49453628908041347,492
train,NoPain,Eda,rms,3.811571508767159,2.37497554479973,492
train,NoPain,Eda,cv,0.39296775008030077,0.2825490427267724,492
train,NoPain,Eda,diff_std,1.9118977466340714,0.944824474496201,492
train,NoPain,Eda,n_extrema,994.6869918699186,7.504442687957878,492
train,NoPain,Resp,mean,-0.021484580993776804,0.055772461282264596,492
train,NoPain,Resp,std,0.12093433243131674,0.09742682677300882,492
train,NoPain,Resp,min,-0.2145653248668035,0.17800259690264136,492
train,NoPain,Resp,max,0.24031069142908631,0.23014787150746951,492
train,NoPain,Resp,median,-0.04648240861138404,0.06045848361702849,492
train,NoPain,Resp,iqr,0.18067020339305334,0.14843250305493508,492
train,NoPain,Resp,skew,0.4372819968521958,0.4959889590522008,492
train,NoPain,Resp,kurtosis,-0.5482377601348287,0.8638414399813246,492
train,NoPain,Resp,range,0.4548760162958898,0.3785394530095696,492
train,NoPain,Resp,mad,0.07454369854980822,0.06558831078938811,492
train,NoPain,Resp,rms,0.13425070824805738,0.09831582259505774,492
train,NoPain,Resp,cv,-0.08724188002177048,17.68819454162097,492
train,NoPain,Resp,diff_std,0.003120593959229006,0.0016193280155183544,492
train,NoPain,Resp,n_extrema,397.3658536585366,279.73508862786076,492
train,NoPain,SpO2,mean,87.6036272664986,20.470612708509467,492
train,NoPain,SpO2,std,2.7638655086500474,5.411403992580195,492
train,NoPain,SpO2,min,83.28394426826418,23.39069156655726,492
train,NoPain,SpO2,max,90.59704926828059,19.524175139750284,492
train,NoPain,SpO2,median,88.13562597564565,20.952086157172406,492
train,NoPain,SpO2,iqr,4.451256092478771,10.142447738511441,492
train,NoPain,SpO2,skew,-0.35674136621006547,1.4583956861788092,386
train,NoPain,SpO2,kurtosis,0.7479752397907831,6.955092083436319,386
train,NoPain,SpO2,range,7.313105000016408,13.553049930112053,492
train,NoPain,SpO2,mad,0.7378216768516516,2.351770066217592,492
train,NoPain,SpO2,rms,87.88529516502125,20.162803236057083,492
train,NoPain,SpO2,cv,0.03931191979350893,0.10317233603090337,487
train,NoPain,SpO2,diff_std,0.2492483830830265,0.48360066751963454,492
train,NoPain,SpO2,n_extrema,10.09959349593496,60.1232832339238,492
train,PainArm,Bvp,mean,0.49787944700659775,0.0013197254148367152,492
train,PainArm,Bvp,std,0.005662360489586126,0.003859507610091384,492
train,PainArm,Bvp,min,0.4850941447586548,0.006486438981978839,492
train,PainArm,Bvp,max,0.5129625752447097,0.009783182338216057,492
train,PainArm,Bvp,median,0.49720085757534677,0.0016401672789372902,492
train,PainArm,Bvp,iqr,0.008102861694931015,0.006128133647398487,492
train,PainArm,Bvp,skew,0.21261740854763372,0.38053030786174846,492
train,PainArm,Bvp,kurtosis,-0.19004655005486032,0.4813918474153351,492
train,PainArm,Bvp,range,0.027868430486054925,0.01573227345689823,492
train,PainArm,Bvp,mad,0.0039016834301192588,0.0029008586770734985,492
train,PainArm,Bvp,rms,0.4979266003985715,0.0013204461798293188,492
train,PainArm,Bvp,cv,0.011374864412934926,0.007751180873195432,492
train,PainArm,Bvp,diff_std,0.0026290623829141636,0.0004474499726905751,492
train,PainArm,Bvp,n_extrema,624.9024390243902,39.95514042127346,492
train,PainArm,Eda,mean,4.560706044933418,3.016114896083135,492
train,PainArm,Eda,std,1.0255518908635146,0.5045493597465154,492
