split,signal,subject,segment_id,segment_idx,raw_len,hash,dup_count
train,SpO2,4,4_NoPain_3,3,1022,ed1374039484684e9690a9f4d9ef66ae6f7641ea,5
train,SpO2,4,4_NoPain_4,4,1022,ed1374039484684e9690a9f4d9ef66ae6f7641ea,5
train,SpO2,4,4_PainHand_2,2,1022,ed1374039484684e9690a9f4d9ef66ae6f7641ea,5
train,SpO2,47,47_PainHand_7,7,1022,ed1374039484684e9690a9f4d9ef66ae6f7641ea,5
train,SpO2,58,58_NoPain_2,2,1022,ed1374039484684e9690a9f4d9ef66ae6f7641ea,5
train,SpO2,4,4_NoPain_7,7,1022,166e237a1a6f3d01a82f800e7a35c863af8d6c1c,3
train,SpO2,4,4_PainArm_4,4,1022,166e237a1a6f3d01a82f800e7a35c863af8d6c1c,3
train,SpO2,36,36_PainArm_11,11,1022,166e237a1a6f3d01a82f800e7a35c863af8d6c1c,3
train,SpO2,6,6_NoPain_4,4,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_NoPain_5,5,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_NoPain_9,9,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_NoPain_11,11,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainHand_2,2,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainArm_4,4,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainHand_4,4,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainArm_6,6,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainHand_6,6,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainArm_7,7,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainHand_7,7,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainArm_8,8,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainHand_8,8,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainArm_9,9,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainHand_9,9,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainArm_10,10,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainArm_12,12,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,6,6_PainHand_12,12,990,a678683681e922d20e282282020b175bb88f9b31,18
train,SpO2,8,8_NoPain_1,1,1022,8d82693c897d1b9dd38ffebed9a9d040799d6734,7
train,SpO2,8,8_NoPain_2,2,1022,8d82693c897d1b9dd38ffebed9a9d040799d6734,7
train,SpO2,8,8_NoPain_3,3,1022,8d82693c897d1b9dd38ffebed9a9d040799d6734,7
train,SpO2,8,8_NoPain_4,4,1022,8d82693c897d1b9dd38ffebed9a9d040799d6734,7
train,SpO2,8,8_NoPain_5,5,1022,8d82693c897d1b9dd38ffebed9a9d040799d6734,7
train,SpO2,8,8_PainArm_1,1,1022,8d82693c897d1b9dd38ffebed9a9d040799d6734,7
train,SpO2,8,8_PainHand_1,1,1022,8d82693c897d1b9dd38ffebed9a9d040799d6734,7
train,SpO2,8,8_PainArm_7,7,1022,e749e14065628cd4662cb535a682cd41631dbf12,2
train,SpO2,60,60_PainArm_10,10,1022,e749e14065628cd4662cb535a682cd41631dbf12,2
train,SpO2,11,11_NoPain_1,1,1022,c5ba1c729bd5a166819c6a98cc2b9b4d6bcc3c24,2
train,SpO2,60,60_PainArm_8,8,1022,c5ba1c729bd5a166819c6a98cc2b9b4d6bcc3c24,2
train,SpO2,11,11_NoPain_9,9,1022,ab9805da4b6447e6e400023cba47b4a131fe6721,7
train,SpO2,15,15_NoPain_6,6,1022,ab9805da4b6447e6e400023cba47b4a131fe6721,7
train,SpO2,15,15_PainArm_4,4,1022,ab9805da4b6447e6e400023cba47b4a131fe6721,7
train,SpO2,15,15_PainHand_10,10,1022,ab9805da4b6447e6e400023cba47b4a131fe6721,7
train,SpO2,15,15_PainArm_11,11,1022,ab9805da4b6447e6e400023cba47b4a131fe6721,7
train,SpO2,18,18_PainArm_4,4,1022,ab9805da4b6447e6e400023cba47b4a131fe6721,7
train,SpO2,43,43_PainArm_5,5,1022,ab9805da4b6447e6e400023cba47b4a131fe6721,7
train,SpO2,11,11_NoPain_12,12,1022,fd4629d214891e5998e603dfb3a03eca8f6c5de5,3
train,SpO2,15,15_NoPain_10,10,1022,fd4629d214891e5998e603dfb3a03eca8f6c5de5,3
train,SpO2,15,15_PainHand_5,5,1022,fd4629d214891e5998e603dfb3a03eca8f6c5de5,3
train,SpO2,12,12_NoPain_9,9,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,12,12_NoPain_12,12,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,12,12_PainArm_8,8,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,18,18_NoPain_5,5,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,18,18_PainHand_1,1,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,18,18_PainHand_5,5,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_NoPain_2,2,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_NoPain_3,3,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_NoPain_6,6,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_NoPain_8,8,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_NoPain_9,9,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_NoPain_10,10,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_NoPain_11,11,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_NoPain_12,12,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_PainArm_3,3,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_PainArm_6,6,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_PainHand_3,3,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
train,SpO2,21,21_PainArm_7,7,1022,eaf2600a000ddef2a5c8c682ea7b354229150db9,151
