subject,class,split,PC1,PC2,PC3
1,NoPain,train,9.31701024447403,-0.04435851232408667,0.8854785737025951
1,NoPain,train,12.163483881730352,-1.7132892275810816,-0.06955241729836231
1,NoPain,train,12.321938246308774,-4.535963881555333,-3.797850281271899
1,NoPain,train,11.246943620793957,2.1333764443656973,-2.235122545940452
1,NoPain,train,14.845313362292952,-0.34810010676900516,-0.8072703453303957
1,NoPain,train,-4.0022584334203035,2.819375190552799,2.2806438071886648
1,NoPain,train,-4.939396354582255,3.368549840814857,0.7808717198533734
1,NoPain,train,10.764681655049396,1.4910660284867294,1.831209095846307
1,NoPain,train,-5.952033728918715,6.283601529741135,0.09588365507053646
1,NoPain,train,2.28331463644043,-9.005539277330435,-2.2880897212970326
1,NoPain,train,1.3113026124494152,5.3535559706389915,1.385644127455615
1,NoPain,train,7.336076337659543,-2.4016777840708667,0.5496029607379118
1,PainArm,train,4.890219679206198,0.6579836892077775,2.333942626134152
1,PainHand,train,3.5437529975806874,1.4811605984539777,3.7519581597992904
1,PainArm,train,9.182564530673002,-4.734312182441124,-2.63933812521045
1,PainHand,train,2.9381558999453516,-4.032852293591347,3.436239632968439
1,PainArm,train,-2.7289132626543737,-9.410880439894443,-0.6700960020426999
1,PainHand,train,0.8277345889199377,-3.8047785383110435,4.693787407985483
1,PainArm,train,-3.0783986684864653,-1.0645210670445637,-0.8222624362823066
1,PainHand,train,0.18229784641433106,-6.945159634628886,-0.867310847816693
1,PainArm,train,3.25268838817788,-8.411509555715377,-1.1801770324931842
1,PainHand,train,-2.2026686278052416,-3.683733963712521,-3.3874930600266357
1,PainArm,train,-1.4048607923784677,-0.11378037038172492,7.597868637053535
1,PainHand,train,-6.467275585554081,3.1227838325400494,-10.407038400608942
1,PainArm,train,-4.379361042356997,-0.28030484989445675,5.2402904564231045
1,PainHand,train,-8.614918072262826,4.3179276328495275,0.933786034025026
1,PainArm,train,-6.446023307612049,-7.3784182387287425,-5.966586509898887
1,PainHand,train,-3.1851228263624787,0.5236510512490836,5.297364343099239
1,PainArm,train,-5.9904757734748095,1.9585783055036825,0.6628884837100971
1,PainHand,train,-5.693998050270276,2.570359050093954,2.4862655750287264
1,PainArm,train,-4.066371596442081,2.8821072783474526,-0.8249852096711106
1,PainHand,train,-7.983570613298306,5.793911054028359,-0.5786262334448239
1,PainArm,train,-7.117172766800876,7.191381050967724,-7.011268271377005
1,PainHand,train,-7.7698709880224035,6.376725004293361,-1.174697993147332
1,PainArm,train,-5.036583743702937,6.8092354289182255,1.7811252523404877
1,PainHand,train,-9.348204293711426,2.7738509429227958,-1.2970851152644125
2,NoPain,train,-2.177591621037658,-6.8755060042134835,5.215497193815001
2,NoPain,train,0.6648047785692331,-12.523502910488547,-1.50441143223539
2,NoPain,train,4.7597876912154184,-7.436434284082236,2.400789118662552
2,NoPain,train,-3.8062505516508316,-4.536139316621748,5.8349813348724835
2,NoPain,train,-3.6140660863508476,-5.97921120711965,4.526009682349336
2,NoPain,train,8.636521957629474,2.814146433926356,-2.2640677487697154
2,NoPain,train,8.842915568289357,1.443542847868555,-1.4541166972793202
2,NoPain,train,9.271070196809973,-1.3302980729716822,0.8394360290939237
2,NoPain,train,5.533696737441946,4.799946451357824,-2.828477871517112
2,NoPain,train,4.616286188708253,2.4866138735098167,-1.781555358119446
2,NoPain,train,10.486306007043307,0.10863395867663446,-1.533831407399106
2,NoPain,train,8.956132262904637,-0.08204980308823008,0.6440071044516895
2,PainArm,train,-9.423506701252157,-6.595548267827973,3.7067896149936663
2,PainHand,train,-10.863814467837074,-2.54307101176338,0.6702955074462336
2,PainArm,train,-0.9353170304887286,-2.1154223186108556,1.0534121326472954
2,PainHand,train,3.395414534685512,1.3622185223760561,-1.7501371527597271
2,PainArm,train,-7.041869217978563,8.26306327626771,-0.28916006893477747
2,PainHand,train,-5.800803437476884,0.5359665345914377,0.15450042527204327
2,PainArm,train,0.5770504625392958,1.190085780817725,-2.230482512778803
2,PainHand,train,0.11118799373260883,-3.3373508901936626,3.666921583573431
2,PainArm,train,-7.953813380327014,10.63538647719269,-3.345075509160542
2,PainHand,train,-3.113565573710546,1.5112519163496252,0.011965190666453898
2,PainArm,train,1.3647189039376904,1.204116435560069,-1.2339993934098163
2,PainHand,train,-8.20052648370629,4.342871713285704,1.7189910769283818
2,PainArm,train,-7.773508632740732,5.183326112982023,-1.2736584740660648
2,PainHand,train,-9.897052277899537,2.6160710252735124,-1.13689189719438
2,PainArm,train,2.180806791439643,2.7652685932075465,-0.18672169570969074
2,PainHand,train,1.2903914352111139,1.461863217702865,-0.4733558185385933
2,PainArm,train,-5.329899521242033,-0.7429541970751669,0.07071049725304719
2,PainHand,train,-4.521695875546822,0.014960206832110348,0.24836994342345997
2,PainArm,train,9.48247978446786,1.8887785456907915,-1.6881524635270477
2,PainHand,train,4.862363199715211,-0.565802445738449,2.140426144730008
2,PainArm,train,-4.088695019542313,0.1814151017335649,-0.4727582290172108
2,PainHand,train,5.550966975132373,-3.730672753664818,-6.581995789191317
2,PainArm,train,7.60711779902363,2.2085104220064133,-0.47607073860874327
2,PainHand,train,-3.6480433897020803,1.3759260362531442,-0.3981823219558964
4,NoPain,train,4.181825154383115,6.947577103879878,-3.007593547704657
4,NoPain,train,9.135422054169572,0.8685355107509108,-7.70778235382523
4,NoPain,train,9.090446596696967,-7.606156457929258,-13.504755551828223
4,NoPain,train,16.066673749010057,5.766760356439208,-7.3189354149820165
4,NoPain,train,5.57402047143969,2.6259285705991444,-4.106051591533147
4,NoPain,train,-1.7243871433747833,3.7212086408980105,0.8168399605592325
4,NoPain,train,3.8432038735060505,2.257333994793684,3.522895770454069
4,NoPain,train,4.901128598561124,3.1856536572300804,1.186274432529703
4,NoPain,train,0.2047846730122188,3.828764922875489,-4.183916743991482
4,NoPain,train,6.165804029192356,2.014237355038748,2.896491659675003
4,NoPain,train,-4.257599765581057,6.02734880083355,-1.8287054842450665
4,NoPain,train,-0.20588824526057226,4.4914512391475165,-2.437949785663632
4,PainArm,train,-2.560663070650703,3.835233352671071,2.5354299459683105
4,PainHand,train,-3.146872196144687,2.4365500077845574,-0.18057347467522714
4,PainArm,train,-6.591257635748675,2.4193238141276234,0.9425496150832781
4,PainHand,train,-2.9665534201967985,3.45340817136798,1.1469132443853525
4,PainArm,train,-2.347963401620092,3.4450208227751644,1.3783546063327652
4,PainHand,train,-3.0079854234864065,-1.7240363375554795,2.673551434658589
4,PainArm,train,-3.6733353154563817,1.626655756772922,3.1322998194025775
4,PainHand,train,0.9897027784705776,-2.6437362526145476,6.1741463000729775
4,PainArm,train,1.0615055371906668,-5.030144966705119,-2.8224271363568225
4,PainHand,train,4.922719402965319,0.8566902224246764,1.7146451947254746
4,PainArm,train,2.8604244908159577,-1.445091409999001,2.1364666324740003
4,PainHand,train,-0.6626698042597448,-0.5640826521561387,3.1094717649901833
4,PainArm,train,-4.32671140536369,-1.0141699610934631,2.40686337863353
4,PainHand,train,-4.222331412584768,-14.348268486235602,8.829257780599804
4,PainArm,train,-2.7341840960636374,0.9331418184918668,4.261965647820722
4,PainHand,train,-4.544352182934359,1.5485024459301875,0.8175853031097873
4,PainArm,train,4.489806725704763,-4.600618961386821,2.154646834345201
4,PainHand,train,0.13420872723285623,-1.4577412549275481,4.4066980731527625
4,PainArm,train,-0.2678488669357494,-3.351815330797322,-4.5709036043644495
4,PainHand,train,-4.006481558526248,-0.8298217035011693,2.893232033760058
4,PainArm,train,-6.136370612527088,-0.6691677166825505,-0.12243091061104838
4,PainHand,train,-6.414949309492654,-13.901663344885637,-13.41194661548155
4,PainArm,train,-8.229531358459813,-2.6710251048942917,-0.815801931931463
